Gender,CGPA,Internships,Projects,Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
Male,6.6,0,3,2,71.6,8.8,No,Yes,52.6,73.8,Yes
Female,4.81,1,0,3,61.2,6.2,No,Yes,73.4,84.3,No
Male,6.79,2,5,2,64.2,5.0,No,Yes,100.0,51.2,No
Male,8.11,3,1,1,63.8,7.2,No,Yes,83.2,67.7,Yes
Male,7.74,1,3,3,75.2,5.3,No,Yes,70.7,77.9,No
Female,7.63,1,0,1,54.6,6.6,Yes,No,85.8,72.4,No
Male,6.92,0,3,2,28.5,7.0,No,Yes,89.3,73.4,Yes
Male,5.92,2,3,1,59.9,7.5,No,Yes,77.9,65.2,No
Male,7.72,2,3,2,90.3,7.5,No,No,63.2,78.0,Yes
Female,6.37,0,1,2,77.0,7.0,No,No,66.9,83.9,No
Male,9.38,1,3,2,41.5,7.8,Yes,No,66.1,88.8,Yes
Male,7.77,2,0,0,75.1,8.8,No,No,59.0,73.2,No
Male,6.62,0,1,3,68.1,7.8,No,Yes,85.2,71.7,No
Male,6.59,2,2,4,59.4,8.1,No,Yes,96.0,74.7,Yes
Female,7.11,3,2,4,48.8,5.2,Yes,No,75.4,63.9,No
Male,6.96,0,1,1,52.8,6.8,Yes,No,68.0,69.0,No
Female,8.32,2,1,4,56.6,7.1,Yes,Yes,81.9,63.3,Yes
Female,7.39,1,2,2,92.5,10.0,Yes,Yes,86.6,76.1,Yes
Female,,4,1,2,74.6,3.2,Yes,No,68.0,65.1,No
Male,9.09,1,2,1,54.4,7.8,No,No,77.6,72.8,No
Female,7.25,2,2,0,56.9,7.3,No,Yes,57.8,72.9,Yes
Male,7.97,0,2,2,64.4,7.6,Yes,No,76.3,70.2,No
Female,6.59,1,1,0,58.5,4.5,No,Yes,65.0,87.6,Yes
Female,7.56,0,2,0,65.2,6.8,Yes,No,78.0,80.7,No
Female,7.51,3,0,2,62.8,9.3,No,Yes,69.5,77.9,Yes
Female,5.31,1,1,4,66.5,4.8,No,Yes,75.1,81.0,Yes
Female,9.22,1,1,1,35.0,,No,No,96.6,66.7,No
Female,8.49,2,6,4,77.0,5.6,No,No,76.0,64.5,No
Female,6.8,0,1,2,56.6,9.0,No,Yes,79.8,77.9,No
Female,6.1,3,1,0,78.6,7.8,No,Yes,73.3,63.2,Yes
Male,7.55,0,1,0,97.9,7.2,No,No,57.4,65.5,No
Male,7.29,2,7,6,43.2,5.4,Yes,No,68.6,70.5,Yes
Female,7.56,1,1,2,66.5,6.3,Yes,No,69.6,43.0,Yes
Female,7.39,2,1,3,58.7,6.0,No,Yes,80.8,64.5,Yes
Female,7.71,2,2,3,70.9,5.2,Yes,No,78.8,80.4,Yes
Male,8.65,1,2,1,33.4,6.3,Yes,Yes,78.2,73.3,Yes
Female,7.77,0,3,1,59.6,3.6,No,Yes,84.0,78.0,Yes
Male,6.15,2,2,1,52.7,7.6,No,Yes,63.4,79.1,No
Male,8.56,0,2,2,89.4,5.9,No,No,95.5,63.1,No
Male,8.84,1,2,1,92.9,5.4,Yes,Yes,58.2,51.6,Yes
Male,10.0,0,2,2,60.7,4.3,Yes,Yes,61.7,72.9,Yes
Male,6.08,1,0,0,47.8,7.1,Yes,No,78.7,69.4,No
Female,7.44,0,2,1,52.4,9.4,No,Yes,64.1,65.6,Yes
Female,5.12,1,2,1,65.6,6.0,Yes,Yes,75.5,66.2,No
Female,7.75,0,2,3,44.0,8.6,Yes,No,67.7,82.8,Yes
Female,6.65,1,2,1,72.8,7.4,Yes,Yes,80.1,63.5,Yes
Female,9.12,1,3,1,62.1,6.3,No,Yes,74.6,76.9,Yes
Male,6.43,0,2,2,70.3,9.4,Yes,No,69.2,79.2,Yes
Female,5.51,2,2,0,70.9,3.9,No,Yes,74.7,82.6,Yes
Female,6.73,1,1,2,85.7,6.7,Yes,Yes,95.2,58.9,Yes
Male,5.22,1,1,2,74.5,6.0,No,No,74.2,69.6,No
Female,7.95,2,1,0,69.4,7.0,No,Yes,61.1,96.9,Yes
Male,5.13,2,1,0,68.7,,Yes,Yes,56.8,98.6,Yes
Female,7.23,0,1,1,35.3,7.7,No,Yes,68.2,91.9,No
Male,5.12,3,3,2,67.7,4.1,Yes,Yes,77.4,79.1,Yes
Female,6.88,1,1,1,74.2,7.5,Yes,Yes,89.6,75.0,Yes
Female,8.84,0,2,3,63.2,5.7,No,Yes,83.9,64.4,Yes
Male,7.56,1,1,1,90.0,7.2,Yes,Yes,67.2,55.2,Yes
Male,6.34,0,0,2,42.7,5.4,Yes,No,61.6,81.3,No
Male,7.17,0,0,2,53.9,5.2,No,Yes,72.9,67.8,No
Male,7.22,0,1,1,55.5,8.9,No,No,73.9,57.6,No
Male,7.67,0,5,1,65.1,9.1,Yes,Yes,71.0,76.8,Yes
Male,5.83,1,4,1,55.3,4.8,No,No,81.4,100.0,No
Male,7.79,0,3,0,46.4,6.7,Yes,No,65.6,76.7,No
Male,4.5,2,2,0,59.7,7.7,No,No,73.1,67.6,No
Female,6.57,2,2,1,80.2,6.4,No,No,77.9,78.7,No
Female,6.71,1,0,1,76.3,6.5,Yes,Yes,59.3,65.2,Yes
Male,7.83,1,0,0,54.6,7.6,No,No,78.2,67.6,No
Female,7.22,2,0,4,59.4,7.3,No,Yes,84.6,76.6,Yes
Female,5.79,0,4,1,53.3,5.8,No,Yes,82.7,56.1,No
Female,6.22,2,2,2,46.1,7.3,Yes,Yes,74.7,74.8,Yes
Female,7.4,1,1,1,71.4,6.1,No,Yes,64.0,70.4,No
Male,7.12,0,2,1,45.8,6.0,No,Yes,66.3,71.1,No
Female,6.62,1,1,1,74.9,5.4,Yes,No,72.9,66.4,No
Male,6.72,0,2,1,92.3,5.4,No,No,76.5,87.4,Yes
Female,7.9,0,3,4,70.6,6.9,Yes,No,65.1,61.5,Yes
Female,6.68,1,0,0,74.3,4.2,No,Yes,78.4,67.9,No
Female,7.11,1,5,1,73.9,4.2,No,Yes,68.7,75.6,Yes
Male,9.37,1,1,1,57.7,6.2,Yes,Yes,71.6,87.1,Yes
Female,5.78,1,5,1,70.5,6.5,No,Yes,81.6,59.5,No
Male,5.35,1,2,2,69.7,4.9,No,No,50.3,76.7,No
Female,7.98,0,2,1,55.6,9.1,No,Yes,74.6,69.5,No
Male,6.52,1,1,1,27.3,5.4,Yes,Yes,72.7,94.2,Yes
Female,6.88,0,1,2,49.3,5.5,No,No,64.4,78.6,Yes
Male,6.42,1,2,4,50.9,5.4,Yes,Yes,93.7,69.7,No
Male,6.94,0,2,2,72.5,7.9,Yes,No,64.4,59.0,Yes
Female,8.8,0,2,2,42.8,9.0,Yes,Yes,82.8,72.0,Yes
Male,8.0,0,2,0,93.1,5.1,No,No,81.9,70.9,No
Female,8.06,1,0,0,89.4,7.8,Yes,Yes,78.8,47.5,Yes
Female,5.78,0,3,0,80.8,6.9,No,Yes,63.9,71.0,No
Female,6.05,0,1,0,57.3,5.4,No,Yes,82.3,86.8,No
Female,4.36,2,1,3,33.8,6.9,No,Yes,67.8,77.6,No
Female,6.39,1,0,1,77.5,4.5,No,Yes,52.6,71.6,No
Female,8.16,3,1,0,53.8,6.1,No,Yes,74.1,71.2,Yes
Female,7.72,1,3,1,76.8,5.0,No,No,76.3,67.4,No
Female,6.98,1,3,0,74.0,6.0,Yes,Yes,82.5,65.2,Yes
Female,7.18,3,3,4,58.4,6.6,No,No,67.7,76.1,Yes
Female,6.51,0,2,1,46.7,8.7,No,Yes,93.3,67.4,Yes
Female,7.4,3,0,3,67.8,6.6,Yes,Yes,74.7,74.0,Yes
Male,7.97,2,1,2,41.5,5.0,Yes,Yes,84.4,79.2,Yes
Male,5.58,0,1,0,69.2,6.5,Yes,Yes,82.0,55.7,No
Female,7.5,0,2,1,72.1,3.4,No,Yes,79.8,57.4,No
Female,8.13,1,4,1,55.1,7.8,No,No,86.9,64.6,Yes
Female,6.78,0,2,1,42.5,5.3,No,No,72.6,67.7,No
Female,7.9,0,0,3,89.4,9.3,No,No,80.7,63.4,No
Female,10.0,1,1,0,57.0,7.9,Yes,Yes,74.2,64.0,Yes
